что,ингредиенты,сколько ?,сколько по факту нужно ,приблизительная цена,где купить ,"Белки, г","Жиры, г","Углеводы, г",каллорийность (100 г)
Шампиньоны с брокколи и спаржей в сметане,,,,"501,2",,3,"5,5",3,70
https://kalkulyator-kaloriy.ru/shampinony-s-brokkoli-i-sparzhey/,,,,,,,,,
,Капуста Брокколи вес,200 г,150 г,"87,6",Akademshop,,,,
,Спаржа Midori Фучжу 450г,1 шт (450 г),4-5 стеблей,248,Akademshop,,,,
,Грибы Шампиньоны вес,200 г,150 г,"94,6",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,15 мл,-,Akademshop,,,,
,Сметана БЗМЖ Простоквашино 10% 315г пл/ст,1 шт (315 г),2 ст. л.,71,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
Тушеная капуста с сосисками и картофелем ,,,,"185,8",,"3,5","7,7",8,115
https://kalkulyator-kaloriy.ru/tushenaya-kapusta-s-sosiskami-i-kartofelem/,Капуста белокочанная вес,300 г ,250 г,9,Akademshop,,,,
,Морковь вес,100 г,1 шт,"4,2",Akademshop,,,,
,Картофель вес,200 г,200 г,"9,2",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,25 мл,-,Akademshop,,,,
,Сосиски Брюкке Молочные,200 г,150 г,"109,4",Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Том.Паста Heinz 70г ж/б,70 г,"1,5 ст. л.",54,Akademshop,,,,
Куриные отбивные с грибами и сыром,,,,"445,3",,"15,1","11,3","2,3",175
https://kalkulyator-kaloriy.ru/kurinye-otbivnye-s-gribami-i-syrom/,Филе грудки куриное Академ.хоз-во к/в вес,400 г,400 г ,"239,6",Akademshop,,,,
,Майонез Calve Классический 200г пак.доз.,1 шт( 200 г),3 ст. л.,50,Akademshop,,,,
,Лук Репчатый вес,300 г,2 шт,"10,8",Akademshop,,,,
,Грибы Шампиньоны вес,200 г,100 г,"94,6",Akademshop,,,,
,Сыр БЗМЖ Витязь Брюкке 50%,100 г,100 г,"50,3",Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Масло Слобода подс.оливк.1.0 пл/б,,2 ст. ложки,-,Akademshop,,,,
Картофель жареный с фаршем на сковороде,,,,"184,5",,"6,4","10,1","10,3","158,94"
https://kalkulyator-kaloriy.ru/kartofel-zharenyy-s-farshem/,,,,,,,,,
,Картофель вес,600 г,600 г,"27,6",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,40 мл,-,Akademshop,,,,
,Фарш Говяжий п/ф говядина 100%,300 г,300 г,"149,7",Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
Индюшные котлеты с грибами,,,,"378,4",,"12,7","8,7","1,8",141
https://kalkulyator-kaloriy.ru/indyushinye-kotlety-s-gribami/,Грибы Шампиньоны вес,200 г,150 г,"94,6",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,1 шт ,77,Akademshop,,,,
,Фарш из индейки п/ф филе грудки индейки 100%,400г,350г,"199,6",Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Масло Аннинское подс.раф.дез.0.9 пл/б ,,20 мл,-,Akademshop,,,,
Оливье с тремя видами огурцов,,,,"593,94",,"5,5","8,9","6,1",126
https://kalkulyator-kaloriy.ru/olive-s-tremya-vidami-ogurcov/,Яйцо Куриное 10шт отборное Яркое Утро,10 шт,3 шт ,77,Akademshop,,,,
,Зел.Горошек Bonduelle Нежный 200г/212мл ж/б,200 г,150 г,87,Akademshop,,,,
,Картофель вес,300 г,3 шт,"13,8",Akademshop,,,,
,Огурец Толмачевский ТК шт,1 шт,1 шт,54,Akademshop,,,,
,"Огурцы «Квашенка» соленые, 230 г",230 г,1 шт,"50,98",Ярче,,,,
,"Огурчики «Домашние заготовки» хрустящие, маринованные, 720 мл, 720 г",720 г,1 шт,"97,96",Ярче,,,,
,Морковь вес,200 г,2 шт,"8,4",Akademshop,,,,
,Колбаса СПК Докторская в обвязке,300 г,300 г,"154,8",Akademshop,,,,
,Майонез Calve Классический 200г пак.доз.,1 шт( 200 г),60 мл,50,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
Борщ с жареной курицей,,,,264,,"6,2","6,3","7,5","112,2"
https://kalkulyator-kaloriy.ru/borshh-s-zharenoy-kuricey/,Фарш Куриный п/ф курица 100%,400 г,350 г,"171,6",Akademshop,,,,
,Капуста белокочанная вес,300 г ,250 г,9,Akademshop,,,,
,Картофель вес,300 г,300 г,"13,8",Akademshop,,,,
,Свекла вес,100г,1 шт,"4,2",Akademshop,,,,
,Морковь вес,100 г,1 шт,"4,2",Akademshop,,,,
,Лук Репчатый вес,200 г,1 шт,"7,2",Akademshop,,,,
,Масло Слобода подс.оливк.1.0 пл/б,,2 ст. л.,-,Akademshop,,,,
,Соль Усольская Экстра 1000г пак,,по вкусу,-,Akademshop,,,,
,Том.Паста Heinz 70г ж/б,70 г,"1,5 ст. л.",54,Akademshop,,,,
