Dish,Content,,Tags,,belki,zhiry,uglevodi,kallorii,breakfast,lunch,dinner
Шампиньоны с брокколи и спаржей в сметане,"Kapusta,Brokkoli,Sparzha,Griby,Maslo pods.,Smetana,Sol'",Shampin'ony s brokkoli i sparzhej v smetane,,"Капуста,Брокколи,Спаржа,Грибы,Масло подсолнечное,Сметана,Соль",3,"5,5",3,70,,+,+
Тушеная капуста с сосисками и картофелем,"Kapusta,Morkov',Kartofel',Maslo pods.,Sosiski,Sol',Tom.Pasta",Tushenaya kapusta s sosiskami i kartofelem,,"Капуста,Морковь,Картофель,Масло подсолнечное,Сосиски,СольТом Паста","3,5","7,7",8,115,,+,+
Куриные отбивные с грибами и сыром,"Kuritsa,Majonez,Luk,Griby,Syr,Sol',Maslo",Kurinye otbivnye s gribami i syrom,,"Курица,Майонез,Лук,Грибы,Сыр,Соль,Масло","15,1","11,3","2,3",175,,+,
Картофель жареный с фаршем на сковороде,"Kartofel',Luk,Maslo,Farsh,Sol'",Kartofel' zharenyj s farshem na skovorode,,"Картофель,Лук,Масло,Фарш,Соль","6,4","10,1","10,3","158,94",,+,
Индюшные котлеты с грибами,"Griby,Luk,Yajco,Indeyka,Sol',Maslo pods.",Indyushnye kotlety s gribami,,"Грибы,Лук,Яйцо,Фарш из индейки,Соль,Масло подсолнечное ","12,7","8,7","1,8",141,,+,
Оливье с тремя видами огурцов,"Yajco,Zel.Goroshek,Kartofel',Ogurec,Ogurec solenyj,Ogurec marinovannyj,Kolbasa,Majonez,Sol'",Oliv'e s tremya vidami ogurcov,,"Яйцо,Зел Горошек,Картофель,Огурец,Огурец соленый,Огурец маринованный,Колбаса,Майонез,Соль","5,5","8,9","6,1",126,,+,+
Борщ с жареной курицей,"Kuritsa,Kapusta,Kartofel',Svekla,Morkov',Luk,Maslo olivk.,Sol',Tom.Pasta",Borshch s zharenoj kuricej,,"курица,Капуста,Картофель,Свекла,Морковь,Лук,Масло оливк,Соль,Том Паста","6,2","6,3","7,5","112,2",,+,
Рубленые куриные котлеты с беконом,"Kuritsa,Luk,Majonez,Krahmal,Yajco,Bekon,Maslo pods.,Sol'",Rublenye kurinye kotlety s bekonom,,"Филе грудки,Лук,Майонез,Крахмал,Яйцо,Бекон,Масло подсолнечное,Соль","16,7","12,6","4,2",201,,+,
Жаркое со свининой в кастрюле,"Svinina,Kartofel',Morkov',Luk,Maslo pods.,Tom.Pasta,Lavrovyj list,Sol'",Zharkoe so svininoj v kastryule,,"свинина,Картофель,Морковь,Лук,Масло подсолнечное,Том Паста,Лавровый Лист,Соль","6,5","9,2","9,5","146,7",,+,
Морковь по-корейски рецепт в домашних условиях,"Morkov',Sahar,Sol',CHesnok,Maslo olivk.,Uksus",Morkov' po-korejski recept v domashnih usloviyah,,"Морковь,Сахар,СольЧеснок,Масло оливк,Уксус","1,2","5,2","10,8",93,,+,+
Яичница с сосиской,"Sosiski,Yajco,Sol',Maslo pods.",Yaichnica s sosiskoj,,"Сосиски,Яйцо Соль Масло подсолнечное ","10,8","22,9","0,4",251,+,,+
Омлет из белков с овощами,"Fasol',Yajco,Tomaty,Luk,Maslo olivk.,Perec",Omlet iz belkov s ovoshchami,"","Фасоль,Яйцо,Томаты,Лук,Масло оливк,Перец","4,2","4,1","3,4",67,+,,+
Омлет с сыром и грибами,"Yajco,Griby,Muka,Moloko,Sol',Maslo pods.,Syr",Omlet s syrom i gribami,"","Яйцо,Грибы,Мука,Молоко,Соль,Масло подсолнечное,Сыр","7,6","8,1","3,3",118,+,,+
Суп с колбасой и вермишелью,"Kartofel',Kolbasa,Luk,Morkov',Makarony,Sol'",Sup s kolbasoj i vermishel'yu,,"Картофель,Колбаса,Лук,Морковь,Макароны,Соль","4,7","7,2","14,3",140,,+,
